Time (EpSec),x (km),y (km),z (km),Angle (deg),Angle (deg)
0,19411.04843,6062.115576,40402.83678,-146.815,-64.162
0.1,19411.00006,6062.269802,40402.83688,-146.814,-64.162
0.2,19410.95168,6062.424028,40402.83698,-146.813,-64.162
0.3,19410.90331,6062.578253,40402.83707,-146.812,-64.161
0.4,19410.85493,6062.732478,40402.83716,-146.811,-64.161
0.5,19410.80656,6062.886703,40402.83726,-146.81,-64.161
0.6,19410.75818,6063.040927,40402.83735,-146.809,-64.16
0.7,19410.7098,6063.195151,40402.83743,-146.808,-64.16
0.8,19410.66142,6063.349375,40402.83752,-146.807,-64.16
0.9,19410.61304,6063.503599,40402.83761,-146.805,-64.159
1,19410.56466,6063.657822,40402.83769,-146.804,-64.159
1.1,19410.51628,6063.812045,40402.83777,-146.803,-64.159
1.2,19410.4679,6063.966268,40402.83785,-146.802,-64.158
1.3,19410.41952,6064.120491,40402.83793,-146.801,-64.158
1.4,19410.37113,6064.274713,40402.838,-146.8,-64.158
1.5,19410.32275,6064.428935,40402.83808,-146.799,-64.157
1.6,19410.27436,6064.583157,40402.83815,-146.798,-64.157
1.7,19410.22598,6064.737379,40402.83822,-146.797,-64.157
1.8,19410.17759,6064.8916,40402.83829,-146.796,-64.156
1.9,19410.1292,6065.045821,40402.83836,-146.795,-64.156
2,19410.08081,6065.200042,40402.83842,-146.794,-64.156
2.1,19410.03242,6065.354263,40402.83849,-146.793,-64.155
2.2,19409.98403,6065.508483,40402.83855,-146.792,-64.155
2.3,19409.93564,6065.662703,40402.83861,-146.791,-64.154
2.4,19409.88725,6065.816923,40402.83867,-146.79,-64.154
2.5,19409.83886,6065.971142,40402.83873,-146.788,-64.154
2.6,19409.79046,6066.125362,40402.83878,-146.787,-64.153
2.7,19409.74207,6066.279581,40402.83883,-146.786,-64.153
2.8,19409.69367,6066.433799,40402.83889,-146.785,-64.153
2.9,19409.64528,6066.588018,40402.83894,-146.784,-64.152
3,19409.59688,6066.742236,40402.83898,-146.783,-64.152
3.1,19409.54848,6066.896454,40402.83903,-146.782,-64.152
3.2,19409.50008,6067.050672,40402.83908,-146.781,-64.151
3.3,19409.45168,6067.204889,40402.83912,-146.78,-64.151
3.4,19409.40328,6067.359106,40402.83916,-146.779,-64.151
3.5,19409.35488,6067.513323,40402.8392,-146.778,-64.15
3.6,19409.30648,6067.66754,40402.83924,-146.777,-64.15
3.7,19409.25808,6067.821756,40402.83927,-146.776,-64.15
3.8,19409.20967,6067.975972,40402.83931,-146.775,-64.149
3.9,19409.16127,6068.130188,40402.83934,-146.774,-64.149
4,19409.11286,6068.284404,40402.83937,-146.773,-64.149
4.1,19409.06446,6068.438619,40402.8394,-146.772,-64.148
4.2,19409.01605,6068.592834,40402.83943,-146.77,-64.148
4.3,19408.96764,6068.747049,40402.83945,-146.769,-64.148
4.4,19408.91923,6068.901263,40402.83948,-146.768,-64.147
4.5,19408.87083,6069.055478,40402.8395,-146.767,-64.147
4.6,19408.82241,6069.209692,40402.83952,-146.766,-64.147
4.7,19408.774,6069.363905,40402.83954,-146.765,-64.146
4.8,19408.72559,6069.518119,40402.83956,-146.764,-64.146
4.9,19408.67718,6069.672332,40402.83957,-146.763,-64.146
5,19408.62876,6069.826545,40402.83958,-146.762,-64.145
5.1,19408.58035,6069.980758,40402.8396,-146.761,-64.145
5.2,19408.53193,6070.13497,40402.83961,-146.76,-64.145
5.3,19408.48352,6070.289183,40402.83961,-146.759,-64.144
5.4,19408.4351,6070.443394,40402.83962,-146.758,-64.144
5.5,19408.38668,6070.597606,40402.83962,-146.757,-64.144
5.6,19408.33826,6070.751818,40402.83963,-146.756,-64.143
5.7,19408.28985,6070.906029,40402.83963,-146.755,-64.143
5.8,19408.24142,6071.06024,40402.83963,-146.754,-64.143
5.9,19408.193,6071.21445,40402.83963,-146.753,-64.142
6,19408.14458,6071.368661,40402.83962,-146.752,-64.142
6.1,19408.09616,6071.522871,40402.83962,-146.75,-64.142
6.2,19408.04773,6071.677081,40402.83961,-146.749,-64.141
6.3,19407.99931,6071.83129,40402.8396,-146.748,-64.141
6.4,19407.95088,6071.985499,40402.83959,-146.747,-64.141
6.5,19407.90246,6072.139709,40402.83958,-146.746,-64.14
6.6,19407.85403,6072.293917,40402.83956,-146.745,-64.14
6.7,19407.8056,6072.448126,40402.83955,-146.744,-64.14
6.8,19407.75717,6072.602334,40402.83953,-146.743,-64.139
6.9,19407.70875,6072.756542,40402.83951,-146.742,-64.139
7,19407.66031,6072.91075,40402.83949,-146.741,-64.139
7.1,19407.61188,6073.064957,40402.83946,-146.74,-64.138
7.2,19407.56345,6073.219165,40402.83944,-146.739,-64.138
7.3,19407.51502,6073.373372,40402.83941,-146.738,-64.138
7.4,19407.46658,6073.527578,40402.83938,-146.737,-64.137
7.5,19407.41815,6073.681785,40402.83935,-146.736,-64.137
7.6,19407.36971,6073.835991,40402.83932,-146.735,-64.137
7.7,19407.32128,6073.990197,40402.83929,-146.734,-64.136
7.8,19407.27284,6074.144403,40402.83925,-146.733,-64.136
7.9,19407.2244,6074.298608,40402.83922,-146.732,-64.136
8,19407.17596,6074.452813,40402.83918,-146.731,-64.135
8.1,19407.12753,6074.607018,40402.83914,-146.73,-64.135
8.2,19407.07908,6074.761223,40402.8391,-146.729,-64.135
8.3,19407.03064,6074.915427,40402.83905,-146.727,-64.134
8.4,19406.9822,6075.069631,40402.83901,-146.726,-64.134
8.5,19406.93376,6075.223835,40402.83896,-146.725,-64.134
8.6,19406.88531,6075.378038,40402.83891,-146.724,-64.133
8.7,19406.83687,6075.532242,40402.83886,-146.723,-64.133
8.8,19406.78842,6075.686445,40402.83881,-146.722,-64.133
8.9,19406.73998,6075.840648,40402.83875,-146.721,-64.132
9,19406.69153,6075.99485,40402.83869,-146.72,-64.132
9.1,19406.64308,6076.149052,40402.83864,-146.719,-64.132
9.2,19406.59463,6076.303254,40402.83858,-146.718,-64.131
9.3,19406.54618,6076.457456,40402.83852,-146.717,-64.131
9.4,19406.49773,6076.611658,40402.83845,-146.716,-64.131
9.5,19406.44928,6076.765859,40402.83839,-146.715,-64.13
9.6,19406.40083,6076.92006,40402.83832,-146.714,-64.13
9.7,19406.35238,6077.07426,40402.83825,-146.713,-64.129
9.8,19406.30392,6077.228461,40402.83818,-146.712,-64.129
9.9,19406.25547,6077.382661,40402.83811,-146.711,-64.129
10,19406.20701,6077.536861,40402.83804,-146.71,-64.128
10.1,19406.15856,6077.691061,40402.83796,-146.709,-64.128
10.2,19406.1101,6077.84526,40402.83789,-146.708,-64.128
10.3,19406.06164,6077.999459,40402.83781,-146.707,-64.127
10.4,19406.01318,6078.153658,40402.83773,-146.706,-64.127
10.5,19405.96472,6078.307857,40402.83764,-146.705,-64.127
10.6,19405.91626,6078.462055,40402.83756,-146.704,-64.126
10.7,19405.8678,6078.616253,40402.83747,-146.702,-64.126
10.8,19405.81934,6078.770451,40402.83739,-146.701,-64.126
10.9,19405.77088,6078.924648,40402.8373,-146.7,-64.125
11,19405.72241,6079.078846,40402.83721,-146.699,-64.125
11.1,19405.67395,6079.233043,40402.83711,-146.698,-64.125
