Time (EpSec),x (km),y (km),z (km),vx (km/sec),vy (km/sec),vz (km/sec)
0,4180.308792,-3898.882584,2819.987828,0.391826,-1.934857,3.22214
0.1,4180.347943,-3899.076039,2820.310021,0.391182,-1.934257,3.221706
0.2,4180.387029,-3899.269435,2820.63217,0.390539,-1.933657,3.221272
0.3,4180.426051,-3899.462771,2820.954275,0.389896,-1.933057,3.220838
0.4,4180.465008,-3899.656046,2821.276337,0.389252,-1.932457,3.220404
0.5,4180.503901,-3899.849262,2821.598356,0.388609,-1.931857,3.21997
0.6,4180.54273,-3900.042418,2821.920331,0.387966,-1.931258,3.219536
0.7,4180.581494,-3900.235514,2822.242263,0.387324,-1.930658,3.219102
0.8,4180.620195,-3900.428549,2822.564152,0.386681,-1.930058,3.218668
0.9,4180.658831,-3900.621525,2822.885997,0.386038,-1.929458,3.218234
1,4180.697402,-3900.814441,2823.207798,0.385395,-1.928859,3.2178
1.1,4180.73591,-3901.007297,2823.529557,0.384753,-1.928259,3.217366
1.2,4180.774353,-3901.200093,2823.851272,0.38411,-1.92766,3.216932
1.3,4180.812732,-3901.392829,2824.172943,0.383468,-1.92706,3.216498
1.4,4180.851046,-3901.585505,2824.494571,0.382825,-1.926461,3.216064
1.5,4180.889297,-3901.778121,2824.816156,0.382183,-1.925861,3.215631
1.6,4180.927483,-3901.970677,2825.137697,0.381541,-1.925262,3.215197
1.7,4180.965605,-3902.163173,2825.459195,0.380899,-1.924663,3.214763
1.8,4181.003663,-3902.35561,2825.78065,0.380257,-1.924064,3.214329
1.9,4181.041656,-3902.547986,2826.102061,0.379615,-1.923464,3.213895
2,4181.079586,-3902.740303,2826.423429,0.378973,-1.922865,3.213461
2.1,4181.117451,-3902.932559,2826.744753,0.378331,-1.922266,3.213027
2.2,4181.155252,-3903.124756,2827.066034,0.37769,-1.921667,3.212593
2.3,4181.192989,-3903.316893,2827.387272,0.377048,-1.921068,3.212159
2.4,4181.230662,-3903.50897,2827.708466,0.376407,-1.920469,3.211726
2.5,4181.26827,-3903.700987,2828.029617,0.375765,-1.91987,3.211292
2.6,4181.305815,-3903.892944,2828.350725,0.375124,-1.919272,3.210858
2.7,4181.343295,-3904.084841,2828.671789,0.374482,-1.918673,3.210424
2.8,4181.380711,-3904.276678,2828.99281,0.373841,-1.918074,3.20999
2.9,4181.418063,-3904.468456,2829.313787,0.3732,-1.917476,3.209557
3,4181.455351,-3904.660173,2829.634721,0.372559,-1.916877,3.209123
3.1,4181.492575,-3904.851831,2829.955611,0.371918,-1.916278,3.208689
3.2,4181.529735,-3905.043429,2830.276459,0.371277,-1.91568,3.208255
3.3,4181.56683,-3905.234967,2830.597262,0.370636,-1.915081,3.207821
3.4,4181.603862,-3905.426445,2830.918023,0.369996,-1.914483,3.207388
3.5,4181.64083,-3905.617864,2831.23874,0.369355,-1.913885,3.206954
3.6,4181.677733,-3905.809222,2831.559414,0.368714,-1.913286,3.20652
3.7,4181.714572,-3906.000521,2831.880044,0.368074,-1.912688,3.206087
3.8,4181.751348,-3906.19176,2832.200631,0.367433,-1.91209,3.205653
3.9,4181.788059,-3906.382939,2832.521175,0.366793,-1.911492,3.205219
4,4181.824706,-3906.574058,2832.841675,0.366153,-1.910894,3.204785
4.1,4181.86129,-3906.765118,2833.162132,0.365513,-1.910296,3.204352
4.2,4181.897809,-3906.956117,2833.482545,0.364873,-1.909698,3.203918
4.3,4181.934264,-3907.147057,2833.802915,0.364232,-1.9091,3.203484
4.4,4181.970655,-3907.337937,2834.123242,0.363593,-1.908502,3.203051
4.5,4182.006983,-3907.528757,2834.443525,0.362953,-1.907904,3.202617
4.6,4182.043246,-3907.719518,2834.763765,0.362313,-1.907306,3.202183
4.7,4182.079445,-3907.910219,2835.083962,0.361673,-1.906708,3.20175
4.8,4182.115581,-3908.10086,2835.404115,0.361034,-1.906111,3.201316
4.9,4182.151652,-3908.291441,2835.724225,0.360394,-1.905513,3.200882
5,4182.187659,-3908.481962,2836.044292,0.359755,-1.904915,3.200449
5.1,4182.223603,-3908.672424,2836.364315,0.359115,-1.904318,3.200015
5.2,4182.259482,-3908.862826,2836.684295,0.358476,-1.90372,3.199582
5.3,4182.295298,-3909.053168,2837.004231,0.357837,-1.903123,3.199148
5.4,4182.33105,-3909.24345,2837.324125,0.357198,-1.902525,3.198714
5.5,4182.366738,-3909.433673,2837.643974,0.356558,-1.901928,3.198281
5.6,4182.402362,-3909.623836,2837.963781,0.355919,-1.901331,3.197847
5.7,4182.437922,-3909.813939,2838.283544,0.355281,-1.900733,3.197414
5.8,4182.473418,-3910.003983,2838.603264,0.354642,-1.900136,3.19698
5.9,4182.50885,-3910.193966,2838.92294,0.354003,-1.899539,3.196547
6,4182.544218,-3910.38389,2839.242573,0.353364,-1.898942,3.196113
6.1,4182.579523,-3910.573755,2839.562163,0.352726,-1.898345,3.19568
6.2,4182.614763,-3910.763559,2839.881709,0.352087,-1.897748,3.195246
6.3,4182.64994,-3910.953304,2840.201212,0.351449,-1.897151,3.194813
6.4,4182.685053,-3911.14299,2840.520671,0.35081,-1.896554,3.194379
